[2025-06-01 18:27:22] Score: 1110, Time: 0:10, Kills: 1, Cubes: 1
[2025-06-01 18:30:28] Score: 1111, Time: 0:10, Kills: 1, Cubes: 1
[2025-06-01 18:30:38] Score: 1121, Time: 0:20, Kills: 1, Cubes: 1
[2025-06-01 18:30:48] Score: 2131, Time: 0:30, Kills: 1, Cubes: 2
[2025-06-01 18:30:58] Score: 2141, Time: 0:40, Kills: 1, Cubes: 2
[2025-06-01 18:31:08] Score: 2251, Time: 0:50, Kills: 2, Cubes: 2
[2025-06-01 18:31:18] Score: 2261, Time: 1:00, Kills: 2, Cubes: 2
[2025-06-01 18:31:28] Score: 3271, Time: 1:10, Kills: 2, Cubes: 3
[2025-06-01 18:31:38] Score: 3281, Time: 1:20, Kills: 2, Cubes: 3
[2025-06-01 18:31:45] Score: 4288, Time: 1:27, Kills: 2, Cubes: 4
[2025-06-01 20:36:31] Score: 110, Time: 0:10, Kills: 1, Cubes: 0
[2025-06-01 20:36:59] Score: 10, Time: 0:10, Kills: 0, Cubes: 0
[2025-06-01 20:37:09] Score: 120, Time: 0:20, Kills: 1, Cubes: 0
[2025-06-01 20:45:35] Score: 1110, Time: 0:10, Kills: 1, Cubes: 1
[2025-06-01 20:45:45] Score: 1120, Time: 0:20, Kills: 1, Cubes: 1
[2025-06-01 20:45:55] Score: 2130, Time: 0:30, Kills: 1, Cubes: 2
[2025-06-01 20:46:23] Score: 110, Time: 0:10, Kills: 1, Cubes: 0
[2025-06-01 20:46:33] Score: 121, Time: 0:20, Kills: 1, Cubes: 0
[2025-06-01 20:49:47] Score: 1110, Time: 0:10, Kills: 1, Cubes: 1
[2025-06-01 20:50:17] Score: 1010, Time: 0:10, Kills: 0, Cubes: 1
[2025-06-01 20:50:28] Score: 1120, Time: 0:20, Kills: 1, Cubes: 1
[2025-06-01 20:52:47] Score: 110, Time: 0:10, Kills: 1, Cubes: 0
[2025-06-01 20:53:10] Score: 7, Time: 0:06, Kills: 0, Cubes: 0
[2025-06-01 20:55:09] Score: 1011, Time: 0:10, Kills: 0, Cubes: 1
[2025-06-01 20:56:04] Score: 11, Time: 0:10, Kills: 0, Cubes: 0
[2025-06-11 10:05:25] Score: 110, Time: 0:10, Kills: 1, Cubes: 0
[2025-06-11 10:28:22] Score: 1011, Time: 0:10, Kills: 0, Cubes: 1
[2025-06-11 10:28:50] Score: 11, Time: 0:10, Kills: 0, Cubes: 0
[2025-06-11 10:29:00] Score: 121, Time: 0:20, Kills: 1, Cubes: 0
[2025-06-11 10:29:10] Score: 131, Time: 0:30, Kills: 1, Cubes: 0
[2025-06-11 10:29:20] Score: 141, Time: 0:40, Kills: 1, Cubes: 0
[2025-06-11 10:29:30] Score: 151, Time: 0:50, Kills: 1, Cubes: 0
[2025-06-11 10:29:40] Score: 161, Time: 1:00, Kills: 1, Cubes: 0
[2025-06-11 10:39:53] Score: 10, Time: 0:10, Kills: 0, Cubes: 0
[2025-06-11 10:41:51] Score: 11, Time: 0:10, Kills: 0, Cubes: 0
[2025-06-11 10:42:07] Score: 11, Time: 0:10, Kills: 0, Cubes: 0
[2025-06-11 10:45:39] Score: 110, Time: 0:10, Kills: 1, Cubes: 0
[2025-06-11 10:45:49] Score: 1120, Time: 0:20, Kills: 1, Cubes: 1
[2025-06-11 10:45:59] Score: 1130, Time: 0:30, Kills: 1, Cubes: 1
[2025-06-11 10:46:09] Score: 1140, Time: 0:40, Kills: 1, Cubes: 1
[2025-06-11 10:46:19] Score: 2150, Time: 0:50, Kills: 1, Cubes: 2
[2025-06-11 14:12:19] Score: 1009, Time: 0:09, Kills: 0, Cubes: 1
[2025-06-11 14:12:29] Score: 1019, Time: 0:19, Kills: 0, Cubes: 1
[2025-06-11 14:13:40] Score: 10, Time: 0:09, Kills: 0, Cubes: 0
